region,var_name,value
Australia east coast,MTWA,22.57000033
Australia east coast,MAP,897.1333492
Australia east coast,CMIA,95.36895296
Australia south coast,MAT,13.99138913
Australia south coast,MTCO,10.23333356
Australia south coast,MTWA,18.08666693
Australia south coast,MAP,756.7233451
Australia south coast,CMIA,95.41223783
Australia above 500m,MAT,11.33944464
Australia above 500m,MTCO,5.310000086
Australia above 500m,MTWA,17.296667
Australia above 500m,MAP,758.6733469
Australia above 500m,CMIA,95.25362092
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,12.12388914
Australia Tasmania,MTCO,8.100000159
Australia Tasmania,MTWA,16.73000037
Australia Tasmania,MAP,1064.046684
Australia Tasmania,CMIA,96.51475476
Australia east coast,MAT,17.08388919
Australia east coast,MTCO,10.57333358
Australia east coast,MTWA,22.93333365
Australia east coast,MAP,958.946684
Australia east coast,CMIA,95.69110552
Australia south coast,MAT,17.72416691
Australia south coast,MTCO,10.2366669
Australia south coast,MTWA,25.23666687
Australia south coast,MAP,253.0000042
Australia south coast,CMIA,80.10907836
Australia above 500m,MAT,8.745555684
Australia above 500m,MTCO,1.54333337
Australia above 500m,MTWA,16.05000025
Australia above 500m,MAP,1119.823353
Australia above 500m,CMIA,94.90660391
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,7.62583346
Australia Tasmania,MTCO,3.306666724
Australia Tasmania,MTWA,12.83333359
Australia Tasmania,MAP,1064.046684
Australia Tasmania,CMIA,96.54401122
Australia east coast,MAT,17.81527808
Australia east coast,MTCO,12.03666687
Australia east coast,MTWA,22.90000032
Australia east coast,MAP,1072.290021
Australia east coast,CMIA,95.90103447
Australia south coast,MAT,14.1730558
Australia south coast,MTCO,10.26333357
Australia south coast,MTWA,18.53333371
Australia south coast,MAP,759.6200148
Australia south coast,CMIA,94.61314684
Australia above 500m,MAT,8.745555684
Australia above 500m,MTCO,1.54333337
Australia above 500m,MTWA,16.05000025
Australia above 500m,MAP,1119.823353
Australia above 500m,CMIA,94.90660391
Australia tropical,MAT,26.87027817
Australia tropical,MTCO,25.31333364
Australia tropical,MTWA,28.17000033
Australia tropical,MAP,2023.646702
Australia tropical,CMIA,97.54156687
Australia Tasmania,MAT,8.476111248
Australia Tasmania,MTCO,4.100000103
Australia Tasmania,MTWA,13.4200002
Australia Tasmania,MAP,1414.573357
Australia Tasmania,CMIA,97.66833728
Australia east coast,MAT,14.89361136
Australia east coast,MTCO,7.833333524
Australia east coast,MTWA,21.54666697
Australia east coast,MAP,882.5766815
Australia east coast,CMIA,94.70600552
Australia south coast,MAT,14.22972248
Australia south coast,MTCO,10.07333352
Australia south coast,MTWA,18.7033336
Australia south coast,MAP,738.7800136
Australia south coast,CMIA,95.02016839
Australia above 500m,MAT,8.745555684
Australia above 500m,MTCO,1.54333337
Australia above 500m,MTWA,16.05000025
Australia above 500m,MAP,1119.823353
Australia above 500m,CMIA,94.90660391
Australia tropical,MAT,25.68944482
Australia tropical,MTCO,22.8300003
Australia tropical,MTWA,28.06000055
Australia tropical,MAP,1334.420021
Australia tropical,CMIA,96.12315962
Australia Tasmania,MAT,9.430833482
Australia Tasmania,MTCO,4.783333405
Australia Tasmania,MTWA,14.23666687
Australia Tasmania,MAP,1010.483348
Australia Tasmania,CMIA,96.12484536
Australia east coast,MAT,14.89361136
Australia east coast,MTCO,7.833333524
Australia east coast,MTWA,21.54666697
Australia east coast,MAP,882.5766815
Australia east coast,CMIA,94.70600552
Australia south coast,MAT,14.10444471
Australia south coast,MTCO,9.693333498
Australia south coast,MTWA,18.72333387
Australia south coast,MAP,704.1000111
Australia south coast,CMIA,93.90740709
Australia above 500m,MAT,8.745555684
Australia above 500m,MTCO,1.54333337
Australia above 500m,MTWA,16.05000025
Australia above 500m,MAP,1119.823353
Australia above 500m,CMIA,94.90660391
Australia tropical,MAT,25.38027817
Australia tropical,MTCO,21.77000046
Australia tropical,MTWA,28.28333359
Australia tropical,MAP,1236.91669
Australia tropical,CMIA,95.78441016
Australia Tasmania,MAT,9.430833482
Australia Tasmania,MTCO,4.783333405
Australia Tasmania,MTWA,14.23666687
Australia Tasmania,MAP,1010.483348
Australia Tasmania,CMIA,96.12484536
Australia east coast,MAT,16.05777809
Australia east coast,MTCO,9.353333537
Australia east coast,MTWA,22.25333373
Australia east coast,MAP,861.5000152
Australia east coast,CMIA,95.20230537
Australia south coast,MAT,16.53305585
Australia south coast,MTCO,9.5033336
Australia south coast,MTWA,23.90000038
Australia south coast,MAP,315.0200055
Australia south coast,CMIA,85.0788848
Australia above 500m,MAT,12.29638908
Australia above 500m,MTCO,6.526666753
Australia above 500m,MTWA,17.92666702
Australia above 500m,MAP,752.3000151
Australia above 500m,CMIA,95.15825274
Australia tropical,MAT,25.38027817
Australia tropical,MTCO,21.77000046
Australia tropical,MTWA,28.28333359
Australia tropical,MAP,1236.91669
Australia tropical,CMIA,95.78441016
Australia Tasmania,MAT,9.430833482
Australia Tasmania,MTCO,4.783333405
Australia Tasmania,MTWA,14.23666687
Australia Tasmania,MAP,1010.483348
Australia Tasmania,CMIA,96.12484536
Australia east coast,MAT,16.05777809
Australia east coast,MTCO,9.353333537
Australia east coast,MTWA,22.25333373
Australia east coast,MAP,861.5000152
Australia east coast,CMIA,95.20230537
Australia south coast,MAT,14.10444471
Australia south coast,MTCO,9.693333498
Australia south coast,MTWA,18.72333387
Australia south coast,MAP,704.1000111
Australia south coast,CMIA,93.90740709
Australia above 500m,MAT,13.30500025
Australia above 500m,MTCO,5.930000099
Australia above 500m,MTWA,20.81000048
Australia above 500m,MAP,738.6600137
Australia above 500m,CMIA,93.97530767
Australia tropical,MAT,25.38027817
Australia tropical,MTCO,21.77000046
Australia tropical,MTWA,28.28333359
Australia tropical,MAP,1236.91669
Australia tropical,CMIA,95.78441016
Australia Tasmania,MAT,8.589166811
Australia Tasmania,MTCO,3.913333376
Australia Tasmania,MTWA,13.75666691
Australia Tasmania,MAP,1002.050019
Australia Tasmania,CMIA,95.45518908
Australia east coast,MAT,16.05777809
Australia east coast,MTCO,9.353333537
Australia east coast,MTWA,22.25333373
Australia east coast,MAP,861.5000152
Australia east coast,CMIA,95.20230537
Australia south coast,MAT,13.5986114
Australia south coast,MTCO,8.993333562
Australia south coast,MTWA,18.33000049
Australia south coast,MAP,676.3833456
Australia south coast,CMIA,94.47157677
Australia above 500m,MAT,12.68083354
Australia above 500m,MTCO,5.293333451
Australia above 500m,MTWA,20.14666697
Australia above 500m,MAP,784.0833475
Australia above 500m,CMIA,94.38363123
Australia tropical,MAT,21.16777816
Australia tropical,MTCO,16.48666706
Australia tropical,MTWA,24.50333379
Australia tropical,MAP,1320.123355
Australia tropical,CMIA,96.07789171
Australia Tasmania,MAT,9.340833482
Australia Tasmania,MTCO,5.486666775
Australia Tasmania,MTWA,13.44666681
Australia Tasmania,MAP,1117.670019
Australia Tasmania,CMIA,96.60429454
Australia east coast,MAT,14.77222247
Australia east coast,MTCO,8.273333486
Australia east coast,MTWA,20.88666706
Australia east coast,MAP,1019.516686
Australia east coast,CMIA,95.21195049
Australia south coast,MAT,13.5986114
Australia south coast,MTCO,8.993333562
Australia south coast,MTWA,18.33000049
Australia south coast,MAP,676.3833456
Australia south coast,CMIA,94.47157677
Australia above 500m,MAT,14.36388916
Australia above 500m,MTCO,8.420000172
Australia above 500m,MTWA,19.936667
Australia above 500m,MAP,793.0166796
Australia above 500m,CMIA,95.56998734
Australia tropical,MAT,25.58500044
Australia tropical,MTCO,22.61666711
Australia tropical,MTWA,27.86000048
Australia tropical,MAP,1860.036707
Australia tropical,CMIA,97.19181165
Australia Tasmania,MAT,9.340833482
Australia Tasmania,MTCO,5.486666775
Australia Tasmania,MTWA,13.44666681
Australia Tasmania,MAP,1117.670019
Australia Tasmania,CMIA,96.60429454
Australia east coast,MAT,16.49722251
Australia east coast,MTCO,10.26333351
Australia east coast,MTWA,22.17000027
Australia east coast,MAP,1018.780017
Australia east coast,CMIA,95.47790527
Australia south coast,MAT,13.5986114
Australia south coast,MTCO,8.993333562
Australia south coast,MTWA,18.33000049
Australia south coast,MAP,676.3833456
Australia south coast,CMIA,94.47157677
Australia above 500m,MAT,13.16388911
Australia above 500m,MTCO,6.336666807
Australia above 500m,MTWA,19.90666682
Australia above 500m,MAP,808.8100139
Australia above 500m,CMIA,93.7449164
Australia tropical,MAT,21.69027814
Australia tropical,MTCO,17.61666711
Australia tropical,MTWA,24.52666708
Australia tropical,MAP,2127.243371
